price,Brand,Series,Model,Interface,Chipset Manufacturer,GPU Series,GPU,Core Clock,Boost Clock,CUDA Cores,Effective Memory Clock,Memory Size,Memory Interface,Memory Type,DirectX,OpenGL,HDMI,Multi-Monitor Support,DisplayPort,Other Ports,Max Resolution,SLI Support,Virtual Reality Ready,Cooler,Thermal Design Power,System Requirements,Power Connector,HDCP Ready,Features,Max GPU Length,Card Dimensions (L x H),Slot Width,Package Contents,Date First Available,Operating Systems Supported,DVI,Dual-Link DVI Supported,Form Factor,Option,Edition,Low Profile Bracket Included,D-SUB,RAMDAC,Shader Clock,Stream Processors,CrossFireX Support,3D VISION Game Ready,RoHS Compliant,Thunderbolt 3,TV-Out,CATV,PixelPipelines,VIVO,Tuner,Windows Vista,Mac Edition,Eyefinity Support,
769.0,NVIDIA,None,NVIDIA 900-1G413-2500-00,PCI Express 3.0,NVIDIA,None,None,1607MHz,1733MHz,2560,None,8GB,256-Bit,None,None,OpenGL 4.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,October 04  2018,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
419.99,MSI,None,RTX 2060 SUPER VENTUS GP OC,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2060 SUPER,None,1665 MHz,2176,14 Gpbs,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,184W,Recommended PSU: 550W,8-Pin,2.2,TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth  tear-free gameplay at refresh rates up to 240 Hz  plus HDR  and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering  real-time ray tracing  and AI  GeForce RTX will take VR to a new level of realism.,232 mm,9.13" x 5.00",None,None,December 06  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
89.99,ZOTAC,None,ZT-P10300A-10L,PCI Express 3.0,NVIDIA,None,GeForce GT 1030,1227 MHz,1468 MHz,384,6.0 GHz,2GB,64-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,2,None,None,None,No,No,Single slot fansink,30W,Recommended Power Supply: 300W,None,Yes,NVIDIA Pascal ArchitectureNVIDIA GameWorksGeForce ExperienceGame Ready DriversNVIDIA GPU Boost 3.0Vulkan APILow-profile ready,172 mm,6.77" x 4.38",Single Slot,ZOTAC GeForce GT 1030Low-profile bracketQuick Install GuideDriver Disk,May 16  2017,Microsoft Windows 10/8/7 x86/x64,1 x SL-DVI-D,None,Low Profile Ready,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
709.99,ZOTAC,None,ZT-T20820F-10P,PCI Express 3.0,NVIDIA,None,GeForce RTX 2080 SUPER,None,1815 MHz,3072,15.5 Gbps,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,None,NVLink (SLI-Ready),Yes,Double Fans,250W,Recommended Power Supply: 650W,1 x 6-pin  1 x 8-pin,Yes,GDDR6 memoryIceStorm 2.0 CoolingMetal BackplateActive Fan ControlSPECTRA Lighting SystemOC Scanner,268 mm,10.55" x 4.45",None,ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan graphics cardDual 6-pin to 8-pin adapterDual 4-pin to 6-pin adapterUser Manual,October 02  2019,Windows 10 / 7 64-bit  Linux 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
249.99,GIGABYTE,None,GV-N166SGAMING OC-6GD,PCI Express 3.0 x16,NVIDIA,None,GeForce GTX 1660 SUPER,None,None,1408,14000 MHz,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.6,1 x HDMI,None,3 x DisplayPort,None,None,None,None,WINDFORCE 3X,None,System PSU Limitation: 450W,8-Pin,None,None,280 mm,11.02" x 4.57",Dual Slot,None,October 29  2019,None,None,None,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1120.0,EVGA,None,11G-P4-6696-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1080 Ti,1569 MHz,1683 MHz,3584,11016 MHz,11GB,352-Bit,GDDR5X,DirectX 12,OpenGL 4.6,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,SLI Ready,Yes,Triple Fans,None,600 Watts or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,2 x 8-Pin or 6+2-Pin,Yes,Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology,300 mm,11.80" x 5.62",Dual Slot,None,November 05  2018,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
499.99,MSI,RED DRAGON,GTX 1070 Ti GAMING 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1070 Ti,1607 MHz,1683 MHz,2432,8008 MHz,8GB,256-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,None,2-Way SLI,Yes,Double Fans,180W,Power Consumption: 180W Recommended PSU: 500W,1 x 6-pin  1 x 8-pin,2.2,TWIN FROZR VI - Smooth heat pipes - Squared shape at bottom maximize heat transfer from the copper base plate - Zero Frozr - Stopping the fan in low-load situations  keeping a noise-free environment - Airflow Control technology - Deflectors thrusts air onto heat pipes for lower temperatures and better gaming TORX 2.0 FAN: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below - Double ball bearing: Strong and lasting core for years of smooth gaming Military Class certified Components - Certified to MIL-STD-810G standards for top stability and quality - Built with Hi-c CAP  Solid CAP  and New SFC components,279 mm,10.98" x 5.51",Dual Slot,None,December 08  2019,None,1 x DL-DVI-D,Yes,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
189.99,ASUS,ROG Strix,ROG-STRIX-GTX1650S-A4G-GAMING,PCI Express 3.0,NVIDIA,None,GeForce GTX 1650 SUPER,1530 MHz,OC Mode: 1770 MHzGaming Mode (Default): 1740 MHz,1280,12002 MHz,4GB,128-Bit,GDDR6,DirectX 12,OpenGL 4.6,2 x HDMI 2.0b,4,2 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,None,Recommended PSU: 350W,6-Pin,2.2,Advanced Edition: Boost Clock 1770 MHz (OC Mode) / 1740 MHz (Gaming Mode).The GeForce GTX 1650 SUPER is up to 50% faster than the original GTX 1650 and up to 2X faster than the previous-generation GTX 1050. Powered by the award-winning NVIDIA Turing architecture and ultra-fast GDDR6 memory  it's a supercharger for today's most popular games. Time to gear up and get SUPER.Ultra-fast GDDR6 with over 50% more memory bandwidth for high-speed gaming.GeForce Experience: Capture and share videos  screenshots  and livestreams with friends. Keep your drivers up-to-date and optimize game settings. GeForce Experience lets you do it all  making it the essential companion to your GeForce graphics card.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB technology lets you enjoy light gaming in relative silence.DirectCU II brings copper heatpipes into direct contact with the die for better cooling.Auto-Extreme Technology uses automation to enhance reliability.A protective backplate secures components during transportation and installation.ASUS FanConnect II equips a hybrid-controlled fan header for optimal system cooling.,243 mm,9.60" x 5.10",2.4 slot,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,December 25  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
569.0,MSI,None,GTX 1070 GAMING 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1070,1531 MHz (OC Mode)1518 MHz (Gaming Mode)1506 MHz (Silent Mode),1721 MHz (OC Mode)1708 MHz (Gaming Mode)1683 MHz (Silent Mode),1920,8008 MHz,8GB,256-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0,4,3 x DisplayPort 1.4,None,7680 x 4320,2-Way SLI,Yes,Double Fans,None,Power Consumption: 150WRecommended PSU: 500W,6-Pin / 8-Pin,2.2,The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottom maximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations  keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone,279 mm,10.98" x 5.51",Dual Slot,None,February 22  2019,None,1 x DL-DVI-D,Yes,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
217.98,EVGA,None,03G-P4-6160-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,1506 MHz,N/A,1152,8008 MHz,3GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,No,Yes,ACX 2.0 Single Fan,None,Minimum of a 400W power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts,6-Pin,Yes,NVIDIA GameStream TechnologyNVIDIA GSYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC,173 mm,6.80" x 4.38",Dual Slot,None,April 07  2017,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,GTX 1060 ACX 2.0 Single,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
267.4,EVGA,None,06G-P4-1068-KR,PCI Express 3.0,NVIDIA,None,GeForce GTX 1660 SUPER,None,1830 MHz,1408,14000 MHz,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,3,1 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,125W,450-Watt or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.One available 8-pin PCIe power dongle.,8-Pin,2.2,VR ReadyNVIDIA AnselAll-Metal Backplate  Pre-InstalledNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5HDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1,202 mm,7.96" x 4.38",Dual Slot,None,November 08  2019,Windows 10 64-bit  Windows 7 64-bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
555.17,ASUS,Turbo,TURBO-RTX2070S-8G-EVO,PCI Express 3.0,NVIDIA,None,GeForce RTX 2070 SUPER,None,None,2560,None,8GB,256-Bit,GDDR6,None,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,SLI Ready,Yes,Single Fan,None,Recommended PSU: 650W,1 x 6-pin  1 x 8-pin,2.2,RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows  reflections  refractions  and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed  high-resolution gaming.A redesigned shroud incorporates a raised edge to preserve air intake in cramped environments.Dual ball fan bearings can last up to twice as long as sleeve bearing designs.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking  thermal controls  and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.,268 mm,10.55" x 4.45",Dual Slot,Accessories:1 x Quick Guide,August 30  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
359.99,EVGA,None,06G-P4-2163-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2060,None,1680 MHz,1920,14000 MHz,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,2 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,160W,Minimum of a 500-Watt power supply,8-Pin,2.2,NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1,268 mm,10.55" x 4.38",Dual Slot,None,October 31  2019,Windows 10 64-bitWindows 7 64-bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
540.0,EVGA,None,08G-P4-6171-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1070,1506 MHz,1683 MHz,1920,8008 MHz,8GB,256-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,2-Way SLI,Yes,Double Fans,None,500 Watts or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,8-Pin,Yes,Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x4 320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC,None,10.50" x 4.38",Dual Slot,None,November 13  2018,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169.99,MSI,None,GTX 1650 4GT LP OC,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1650,None,1695 MHz,896,8 Gbps,4GB,128-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,2,None,None,7680 x 4320,None,None,Double Fans,75W,Recommended PSU: 300W,None,2.2,Low Profile DesignLow profile design saves more spaces.User can build slim or smaller system easier.Dual Fans Thermal DesignDual fans cover more area of heatsink to take heat away more efficiently.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.GeForce ExperienceCapture and share videos  screenshots  and livestreams with friends. Keep your drivers up to date and optimize your game settings.,168 mm,6.61" x 4.13" (w/ normal bracket)6.61" x 2.72" (w/ low profile bracket),Dual Slot,None,November 13  2019,None,1 x DL-DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
344.99,ASUS,Dual,DUAL-RTX2060-A6G-EVO,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2060,OC Mode: 1395 MHzGaming Mode (Default): 1365 MHz,OC Mode: 1725 MHz Gaming Mode (Default): 1695 MHz,1920,14000 MHz,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.5,2 x HDMI 2.0b,4,1 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,None,Recommended PSU: 500W,1 x 8-pin,2.2,NVIDIA TURING GPU architecture and the all-new RTX platform provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12 enables new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos  screenshots  and livestreams with your friends.Axial-tech Fan Design brings larger blades and a unique barrier ring to increase air pressure.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes  solid polymer capacitors  and an array of high-current power stages.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.,242 mm,9.53" x 5.12",2.5-slot,Accessories:1 x CD1 x Quick Guide,October 18  2019,None,1 x DVI-D,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
399.0,EVGA,None,06G-P4-6161-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,1506 MHz,1708 MHz,1280,8008 MHz,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Single Fan,None,400W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,6-Pin,Yes,Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x 4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC,173 mm,6.80" x 4.38",Dual Slot,None,June 18  2019,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit  Windows Vista 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
445.0,MSI,None,GTX 1060 GAMING X 6G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,1594 MHz (OC Mode)1569 MHz (Gaming Mode)1506 MHz (Silent Mode),1809 MHz (OC Mode)1784 MHz (Gaming Mode)1708 MHz (Silent Mode),1280,8108 MHz (OC Mode)8008 MHz (Gaming Mode)8008 MHz (Silent Mode),6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0,4,3 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,None,Power Consumption: 120WRecommended PSU: 400W,8-Pin,2.2,The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipes: Squared shape at bottommaximize heat transfer from the copper base plate- Zero Frozr: Stopping the fan in low-load situations  keeping a noise-free environment- Airflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heatsink belowGaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click- LED control: Full control on your RGB GAMING LEDs to set the mood- Mobile APP: Control your graphics card from your phone,277 mm,11.00" x 5.51",Dual Slot,Accessories:Driver CDInstallation Guide,June 13  2019,None,1 x DL-DVI-D,Yes,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
399.0,EVGA,None,06G-P4-6262-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,1506 MHz,1708 MHz,1280,8008 MHz,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.6,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,None,Yes,ACX 3.0,None,Minimum of a 400-Watt power supplyTotal Power Draw: 120 Watts,8-Pin,None,NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling,267 mm,10.50" x 4.38",Dual Slot,None,September 16  2019,Windows 10 32/64bitWindows 8 32/64bitWindows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
399.0,EVGA,None,06G-P4-6267-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,1607 MHz,1835 MHz,1280,8008 MHz,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.6,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,None,Minimum of a 400-Watt power supplyOne available 8-pin PCI-E power dongleTotal Power Draw: 120 Watts,8-Pin,None,NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling,267 mm,10.50" x 4.38",Dual Slot,None,June 18  2019,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
714.99,ZOTAC,None,ZT-T20820D-10P,PCI Express 3.0,NVIDIA,None,GeForce RTX 2080 SUPER,None,1845 MHz,3072,15.5 Gbps,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,None,NVLink (SLI-Ready),Yes,Double Fans,250W,Recommended Power Supply: 650W,2 x 8-Pin,Yes,GDDR6 memoryStrong Factory OC16+4 Power PhasePowerBoostFreeze Fan StopIceStorm 2.0 CoolingMetal BackplateActive Fan ControlSPECTRA Lighting SystemOC Scanner,298 mm,11.73" x 5.24",Dual Slot,ZOTAC GAMING GeForce RTX 2080 SUPER AMP graphics card2 x Dual 6-pin to 8-pin adapterUser Manual,June 26  2019,Windows 10 / 7 64-bit  Linux 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
472.49,MSI,None,RTX 2060 SUPER ARMOR OC,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2060 SUPER,None,1680 MHz,2176,14 Gpbs,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort,None,7680 x 4320,None,Yes,Double Fans,175W,Power consumption: 175WRecommended PSU: 550W,8-Pin,2.2,TORX FAN 2.0Award-winning fan design combining two different fin designs for cool & quiet gaming.MASTERY OF AERODYNAMICSUsing groundbreaking aerodynamic techniques  the heatsink is optimized for efficient heat dissipation.ZERO FROZREliminates fan noise by stopping the fans in low-load situations so you can focus on your game.CUSTOM PCBAn optimized PCB design with enhanced power delivery provides a solid base for high performance gaming.SOLID BLACK BACKPLATEIncreases toughness of the card to prevent bending while complementing the sleek MSI GAMING design.RGB MYSTIC LIGHTCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.OC PERFORMANCEMSI OC graphics cards are equipped with higher clock speeds out of the box for increased performance.MSI AFTERBURNERThe ultimate overclocking software with advanced control options and real-time hardware monitor.,250 mm,9.84" x 5.08",None,None,September 30  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1099.0,EVGA,None,11G-P4-6390-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1080 Ti FE,1480 MHz,1582 MHz,3584,11016 MHz,11GB,352-Bit,GDDR5X,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,SLI Ready,Yes,Single Fan,None,600W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,1 x 6-Pin1 x 8-Pin,None,Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320Built for EVGA Precision XOCHDMI 2.0b  DisplayPort 1.4 and DVI (via DP to Single-Link DVI-D Adapter),270 mm,10.60" x 4.38",Dual Slot,None,October 26  2018,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
239.99,ZOTAC,None,ZT-T16600D-10M,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1660,None,1845 MHz,1408,8 Gbps,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,None,No,Yes,IceStorm 2.0  Dual 90mm Fans,130W,Recommended Power Supply: 450W,8-Pin,Yes,Super CompactIceStorm 2.0 CoolingWraparound Metal Backplate4K and VR Ready,210 mm,8.30" x 4.70",Dual Slot,ZOTAC GAMING GeForce GTX 1660 AMP graphics cardUser Manual,March 04  2019,Windows 10 / 7 64-bit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
850.0,EVGA,None,08G-P4-6286-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1080,1721 MHz,1860 MHz,2560,10000 MHz,8GB,256-Bit,GDDR5X,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,2-Way SLI,Yes,Double Fans,None,500W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,2 x 8-Pin,Yes,EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b  DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA PrecisionX OCEVGA ACX 3.0 Cooling10 Phase Power DesignAdjustable RGB LED,267 mm,10.50" x 5.06",Dual Slot,None,October 26  2018,Windows 10 32/64bit  Windows 8 32/64bit  Windows 7 32/64bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
